,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
551,1.38777199285261,NP_006857,NP_006857.2-2,NM_006866.4-2
552,1.38777199285261,NP_006857,NP_006857.2-3,NM_006866.4-3
553,1.38777199285261,NP_006857,NP_006857.2-4,NM_006866.4-4
554,-1.05114110607095,NP_006867,NP_006867.1,NM_006876.3
555,-0.759662707898443,NP_008817,NP_008817.1,NM_006886.4
556,-0.561481073081961,NP_008818,NP_008818.3,NM_006887.5
557,-0.890115169327187,NP_008827,NP_008827.2,NM_006896.4
558,-1.2060793315281,NP_008828,NP_008828.1,NM_006897.3
559,-0.879387809133125,NP_008844,NP_008844.1,NM_006913.4
560,-0.879387809133125,NP_008844,NP_008844.1-5,NM_006913.4-5
561,-0.879387809133125,NP_008844,NP_008844.1-6,NM_006913.4-6
562,-0.879387809133125,NP_008844,NP_008844.1-7,NM_006913.4-7
563,-1.48493390004137,NP_008864,NP_008864.4,NM_006933.7
564,-0.784221480635945,NP_008868,NP_008868.3,NM_006937.4
565,-0.789462242683038,NP_008869,NP_008869.1,NM_006938.4
566,2.70678003003801,NP_008922,NP_008922.1,NM_006991.5
567,2.70678003003801,NP_008922,NP_008922.1-2,NM_006991.5-2
568,-1.36969052409528,NP_008937,NP_008937.1,NM_007006.3
569,-0.597192556008626,NP_008986,NP_008986.2,NM_007055.4
570,-0.949720096110487,NP_008996,NP_008996.1,NM_007065.4
571,-0.753510319985512,NP_009031,NP_009031.1,NM_007100.4
572,-0.804364771918489,NP_009039,NP_009039.1,NM_007108.4
573,-1.63849704399488,NP_009060,NP_009060.2,NM_007129.5
574,-0.956648155472315,NP_009107,NP_009107.1,NM_007176.4
575,-0.870932413550268,NP_009120,NP_009120.1,NM_007189.3
576,-0.80645209894466,NP_009123,NP_009123.1,NM_007192.4
577,-0.775340081247425,NP_009135,NP_009135.4,NM_007204.5
578,-1.20307554816374,NP_009139,NP_009139.1,NM_007208.4
579,-0.898156967554219,NP_009216,NP_009216.1,NM_007285.7
580,1.38205392151593,NP_009223,NP_009223.2,NM_007292.6
581,-1.06724386058675,NP_031401,NP_031401.1,NM_007375.4
582,-1.02819094688159,NP_036203,NP_036203.1,NM_012071.4
583,1.1679470979795,NP_036346,NP_036346.1,NM_012214.3
584,-0.927737970861111,NP_036364,NP_036364.2,NM_012232.6
585,-0.981748364080163,NP_036380,NP_036380.2,NM_012248.4
586,-1.0103181047861,NP_036394,NP_036394.1,NM_012262.4
587,-0.616035405224724,NP_036442,NP_036442.3,NM_012310.5
588,-1.01264841533065,NP_036449,NP_036449.1,NM_012317.4
589,-0.862039974441302,NP_036451,NP_036451.4,NM_012319.4
590,-1.31806969895904,NP_036465,NP_036465.2,NM_012333.5
591,-1.65598580888474,NP_036474,NP_036474.1,NM_012342.3
592,1.37693189061166,NP_036506,NP_036506.1,NM_012374.2
593,2.10049070059712,NP_036507,NP_036507.2,NM_012375.3
594,-0.713508112826921,NP_036546,NP_036546.2,NM_012414.4
595,-0.975885995348948,NP_036558,NP_036558.3,NM_012426.5
596,-1.21735186155043,NP_036591,NP_036591.3,NM_012459.4
597,-0.936984096558047,NP_036611,NP_036611.2,NM_012479.4
598,-0.849786206450978,NP_037408,NP_037408.2,NM_013276.4
599,0.946846107334584,NP_037465,NP_037465.2,NM_013333.4
600,-0.924157214788683,NP_037469,NP_037469.2,NM_013337.4
601,-0.924157214788683,NP_037469,NP_037469.2-2,NM_013337.4-2
602,-1.25012708383055,NP_037471,NP_037471.2,NM_013339.4
603,-1.56075673889121,NP_037505,NP_037505.1,NM_013373.4
604,-0.95676086320781,NP_037507,NP_037507.1,NM_013375.4
605,-0.95676086320781,NP_037507,NP_037507.1-2,NM_013375.4-2
606,-1.04324825622306,NP_037519,NP_037519.2,NM_013387.4
607,1.75214413729922,NP_038460,NP_038460.4,NM_013432.5
608,-0.942010424692446,NP_038472,NP_038472.2,NM_013444.4
609,1.04265873039858,NP_039228,NP_039228.1,NM_013940.4
610,-1.01381366621997,NP_054733,NP_054733.2,NM_014014.5
611,1.71419167551102,NP_054745,NP_054745.1,NM_014026.6
612,-0.815358420805533,NP_054760,NP_054760.4,NM_014041.5
613,-0.810265740812296,NP_054766,NP_054766.1,NM_014047.3
614,-1.38305602501685,NP_054770,NP_054770.1,NM_014051.4
615,-1.12815456371414,NP_054797,NP_054797.2,NM_014078.6
616,1.38194968631893,NP_054868,NP_054868.3,NM_014149.4
617,-1.10316758488018,NP_054880,NP_054880.2,NM_014161.5
618,-0.676764922754878,NP_054886,NP_054886.2,NM_014167.5
619,-1.13069132733157,NP_054894,NP_054894.1,NM_014175.4
620,-0.8195165977041,NP_054900,NP_054900.2,NM_014181.3
621,-0.674107923408685,NP_054907,NP_054907.1,NM_014188.3
622,-1.35117347400028,NP_055028,NP_055028.3,NM_014213.4
623,-1.22347572059214,NP_055070,NP_055070.1,NM_014255.7
624,-0.857099942655862,NP_055095,NP_055095.2,NM_014280.3
625,-0.857099942655862,NP_055095,NP_055095.2-2,NM_014280.3-2
626,-1.08568374355863,NP_055121,NP_055121.1,NM_014306.5
627,-0.814822538568397,NP_055136,NP_055136.1,NM_014321.4
628,1.59589201955266,NP_055145,NP_055145.3,NM_014330.5
629,-0.795922268370217,NP_055209,NP_055209.2,NM_014394.3
630,-1.01901122591663,NP_055214,NP_055214.1,NM_014399.4
631,-0.73816628331863,NP_055217,NP_055217.2,NM_014402.5
632,2.17262917254645,NP_055257,NP_055257.2,NM_014442.3
633,-0.749628373777792,NP_055260,NP_055260.1,NM_014445.4
634,-0.80466210545896,NP_055278,NP_055278.1,NM_014463.3
635,-0.873222859349812,NP_055317,NP_055317.1,NM_014502.5
636,-1.18301039857191,NP_055318,NP_055318.2,NM_014503.3
637,-1.04045378701218,NP_055417,NP_055417.1,NM_014602.3
638,-0.757784399407962,NP_055422,NP_055422.1,NM_014607.4
639,-1.16555865724772,NP_055429,NP_055429.2,NM_014614.3
640,1.95445593376573,NP_055498,NP_055498.3,NM_014683.4
641,-1.00954063270973,NP_055524,NP_055524.3,NM_014709.4
